Meta_troph,Simp,S,Metacom,Freq,Time_step,Bio_gr,Trophic_gr,New_tr_g,Ecosys,nSites,CV_S_L,CV_C_L,CV_S_R,CV_C_R,phi_S_L2R,phi_C_L2R,phi_S2C_L,phi_S2C_R,Simp_gamma,S_gamma
1701_Primary,0.7166699752286948,9.444444444444445,1701,Inter_annual,11,Macroinvertebrates,Consumers_Inver,Primary,Stream,9,1.3674243754604454,1.129946446798116,0.8289528988822327,0.6393133862643519,0.6062148033620535,0.5657908727231707,0.8263319471818215,0.7712300507379944,0.95,20
1701_Secondary,0.6086814793016304,2,1701,Inter_annual,11,Macroinvertebrates,Consumers_Inver,Secondary,Stream,9,1.3559378771685409,0.9517168216748031,0.8191430044011295,0.3982985196635097,0.6041154378780669,0.4185052849676396,0.7018882189958222,0.4862380775072398,0.8333333333333334,6
1705_Primary,0.6886459242889925,8.333333333333334,1705,Inter_annual,9,Macroinvertebrates,Consumers_Inver,Primary,Stream,6,1.4124799751239587,0.9649551702560566,0.9160912631682883,0.6502024315222006,0.6485693810192902,0.6738162057307445,0.6831637879831695,0.7097572672764992,0.9230769230769231,13
1705_Secondary,0.5304504920446783,1,1705,Inter_annual,9,Macroinvertebrates,Consumers_Inver,Secondary,Stream,6,1.5051408989739004,0.9848120010874686,1.0529009353042904,0.657493620033886,0.699536459358778,0.6676336390172494,0.6542988777720706,0.6244591470933294,0.6666666666666667,3
1706_Primary,0.6975374284029363,9.428571428571429,1706,Inter_annual,12,Macroinvertebrates,Consumers_Inver,Primary,Stream,7,2.650971239800423,2.518580266107483,2.4514755996352893,2.2206335823919465,0.9247462072881061,0.8817005406875441,0.9500594454948117,0.9058354824018295,0.95,20
1706_Secondary,0.5212918102397542,1.4285714285714286,1706,Inter_annual,12,Macroinvertebrates,Consumers_Inver,Secondary,Stream,7,1.695956462430034,1.2521766312335996,1.2606721353557977,0.8597115042475502,0.7433399166093311,0.6865736692439254,0.7383306464361892,0.6819469393641472,0.8333333333333334,6
1707_Primary,0.6951781924842139,11,1707,Inter_annual,7,Macroinvertebrates,Consumers_Inver,Primary,Stream,5,1.1222960945461402,0.6349543312873516,0.7469667787010689,0.3030596671359488,0.6655701488501966,0.4772936449169566,0.5657636468423504,0.40572040923018243,0.9411764705882353,17
1707_Secondary,0.3293633250459024,2,1707,Inter_annual,7,Macroinvertebrates,Consumers_Inver,Secondary,Stream,5,1.172826341143874,0.8672720368650572,0.8855509718159205,0.45794484566368077,0.7550571987940091,0.5280290683866872,0.739471826680832,0.5171298550151372,0.6666666666666667,3
2080020590_Secondary,0.49202435888439694,6.136363636363637,2080020590,Inter_annual,10,Fish,Consumers_Vert,Secondary,Stream,22,0.8260886101117222,0.5832746366258245,0.33048677286373285,0.19713099986980154,0.4000621347618351,0.33797286473860977,0.7060678836220016,0.596486806904926,0.9486842105263158,19.5
2080020590_Tertiary,0.23306211674291127,2.0681818181818183,2080020590,Inter_annual,10,Fish,Consumers_Vert,Tertiary,Stream,22,0.5471405531869256,0.4938693217042203,0.35777858987039285,0.2445651530736676,0.6539061814856211,0.4952021563715155,0.9026370259480554,0.683565646458226,0.875,8
