Site_troph,Lat,Long,Simp,synchrony_comm_site,mean_cv_species_site,cv_comm_site,Metacom,Meta_troph,Site,Bio_gr,Ecosys,New_tr_g,S
1701_015-06-IS_Primary,48.86557590942457,-117.0059613787053,0.6772070968085673,0.8986732344960645,2.13246525429418,1.093807275003466,1701,1701_Primary,1701_015-06-IS,Macroinvertebrates,Stream,Primary,8
1701_015-06-IS_Secondary,48.86557590942457,-117.0059613787053,1,0.6508190199586751,2.862204022090852,1.651529902971231,1701,1701_Secondary,1701_015-06-IS,Macroinvertebrates,Stream,Secondary,0
1701_015-09-IKS_Primary,48.530694275284375,-116.9810669085095,0.5823310157644259,0.8866577267443014,2.1163487138523407,1.3262069956166838,1701,1701_Primary,1701_015-09-IKS,Macroinvertebrates,Stream,Primary,9
1701_015-09-IKS_Secondary,48.530694275284375,-116.9810669085095,1,0.6558585769116647,2.935247323476909,1.684597822177509,1701,1701_Secondary,1701_015-09-IKS,Macroinvertebrates,Stream,Secondary,0
1701_034-07-IS_Primary,47.69333239297003,-114.81285382116195,0.6857151774289192,0.8477201026690695,2.129624500399028,1.5178289328693004,1701,1701_Primary,1701_034-07-IS,Macroinvertebrates,Stream,Primary,8
1701_034-07-IS_Secondary,47.69333239297003,-114.81285382116195,0.46875,0.6887759486493864,2.6114114525109904,1.3327877743353476,1701,1701_Secondary,1701_034-07-IS,Macroinvertebrates,Stream,Secondary,1
1701_037-06-IS_Primary,48.28100113255158,-114.76418201701485,0.7087223683834254,0.7731110997897023,2.3540145695749133,1.2922481325079294,1701,1701_Primary,1701_037-06-IS,Macroinvertebrates,Stream,Primary,8
1701_037-06-IS_Secondary,48.28100113255158,-114.76418201701485,0.48674959437533794,0.7909570134939776,2.279178206993115,1.2485430956085157,1701,1701_Secondary,1701_037-06-IS,Macroinvertebrates,Stream,Secondary,2
1701_043-04-IS_Primary,47.75989552759965,-113.50388753735537,0.7595230558193521,0.7023041011197557,1.4347893867940362,0.6585691969290247,1701,1701_Primary,1701_043-04-IS,Macroinvertebrates,Stream,Primary,10
1701_043-04-IS_Secondary,47.75989552759965,-113.50388753735537,0.62,0.7285005893453051,1.4366008800439407,0.8810527523978943,1701,1701_Secondary,1701_043-04-IS,Macroinvertebrates,Stream,Secondary,3
1701_050-04-IS_Primary,46.8925180795108,-112.72479395829374,0.7355199353448276,0.6690089861212755,2.059596050227961,0.6773492678470254,1701,1701_Primary,1701_050-04-IS,Macroinvertebrates,Stream,Primary,10
1701_050-04-IS_Secondary,46.8925180795108,-112.72479395829374,0.5571428571428572,0.5638954904776154,2.2016069695040015,0.5987374541005951,1701,1701_Secondary,1701_050-04-IS,Macroinvertebrates,Stream,Secondary,3
1701_052-14-IS_Primary,46.407755408337835,-112.96833660440329,0.7953439477586484,0.7915003002356837,1.6983455027774752,0.9096578354773068,1701,1701_Primary,1701_052-14-IS,Macroinvertebrates,Stream,Primary,11
1701_052-14-IS_Secondary,46.407755408337835,-112.96833660440329,0.5220249835634452,0.6943904526130501,1.927990478845875,0.9348128154876783,1701,1701_Secondary,1701_052-14-IS,Macroinvertebrates,Stream,Secondary,3
1701_058-06-IS_Primary,46.09765757922345,-113.98861672164108,0.724387107679491,0.763818426929855,2.0800799419872513,0.9731891839267449,1701,1701_Primary,1701_058-06-IS,Macroinvertebrates,Stream,Primary,11
1701_058-06-IS_Secondary,46.09765757922345,-113.98861672164108,0.45781490910394773,0.7097231644566594,1.9524601782210245,0.9888264649460884,1701,1701_Secondary,1701_058-06-IS,Macroinvertebrates,Stream,Secondary,3
1701_062-10-IS_Primary,46.92794350304296,-114.82586779286943,0.7812800720705965,0.9246206153268771,1.996633547925317,1.1814758972019805,1701,1701_Primary,1701_062-10-IS,Macroinvertebrates,Stream,Primary,10
1701_062-10-IS_Secondary,46.92794350304296,-114.82586779286943,0.3656509695290858,0.7915972142449742,1.6146039340512797,1.1325180613279702,1701,1701_Secondary,1701_062-10-IS,Macroinvertebrates,Stream,Secondary,3
1705_107-20-IS_Primary,43.903433038392265,-115.18670336117587,0.7606545315164956,0.6238983279596677,1.9584024613253757,0.661903889817294,1705,1705_Primary,1705_107-20-IS,Macroinvertebrates,Stream,Primary,9
1705_107-20-IS_Secondary,43.903433038392265,-115.18670336117587,0.3046875,0.7268045158330559,2.288059383701632,1.6371887286921518,1705,1705_Secondary,1705_107-20-IS,Macroinvertebrates,Stream,Secondary,1
1705_125-16-IS_Primary,44.009419215323085,-115.72062377113191,0.6614023479584874,0.6589037084814714,1.9150249742312064,1.0259183297299557,1705,1705_Primary,1705_125-16-IS,Macroinvertebrates,Stream,Primary,9
1705_125-16-IS_Secondary,44.009419215323085,-115.72062377113191,0.6446280991735538,0.5378023847312408,2.391346679856279,1.2158285289374586,1705,1705_Secondary,1705_125-16-IS,Macroinvertebrates,Stream,Secondary,1
1705_139-12-IS_Primary,45.04021535519455,-117.44183887759228,0.7071586436884428,0.6632520968505519,1.8548560553230518,0.9329630246898895,1705,1705_Primary,1705_139-12-IS,Macroinvertebrates,Stream,Primary,10
1705_139-12-IS_Secondary,45.04021535519455,-117.44183887759228,0.5,0.6597562086696684,2.3674924344085473,1.1418056731975739,1705,1705_Secondary,1705_139-12-IS,Macroinvertebrates,Stream,Secondary,1
1705_144-14-IS_Primary,44.95841333601711,-118.12727006208058,0.7071501292192027,0.6143288151177215,2.236017154816099,1.1165061011843123,1705,1705_Primary,1705_144-14-IS,Macroinvertebrates,Stream,Primary,8
1705_144-14-IS_Secondary,44.95841333601711,-118.12727006208058,1,0.8619944337374051,2.7919639391674362,2.1574247312111985,1705,1705_Secondary,1705_144-14-IS,Macroinvertebrates,Stream,Secondary,0
1705_145-01-IS_Primary,44.40146926575638,-118.32904877799338,0.6711309090556187,0.7678868532359044,1.8939681880262984,1.195654960280773,1705,1705_Primary,1705_145-01-IS,Macroinvertebrates,Stream,Primary,8
1705_145-01-IS_Secondary,44.40146926575638,-118.32904877799338,0.36281179138322006,0.6858294718855305,2.065806800291072,0.9551072690015616,1705,1705_Secondary,1705_145-01-IS,Macroinvertebrates,Stream,Secondary,1
