term,.y.,group1,group2,df,statistic,p,p.adj,p.adj.signif,part
New_tr_g,log(Value_part),Producers,Primary,45,0.760279844997835,0.451052535992814,0.451052535992814,ns,CV_C_R
New_tr_g,log(Value_part),Producers,Secondary,45,3.3627172571489,0.00158390227573038,0.00475170682719113,**,CV_C_R
New_tr_g,log(Value_part),Producers,Tertiary,45,4.37969624143468,7.01705741822614e-05,0.000350852870911307,***,CV_C_R
New_tr_g,log(Value_part),Primary,Secondary,45,3.80989525574613,0.000419124489515108,0.00167649795806043,**,CV_C_R
New_tr_g,log(Value_part),Primary,Tertiary,45,5.23019282971412,4.25880272501446e-06,2.55528163500868e-05,****,CV_C_R
New_tr_g,log(Value_part),Secondary,Tertiary,45,1.73276811284576,0.0899860242179697,0.179972048435939,ns,CV_C_R
New_tr_g,log(Value_part),Producers,Primary,45,1.4110496984526,0.165106438357821,0.165106438357821,ns,CV_C_L
New_tr_g,log(Value_part),Producers,Secondary,45,3.44692032624753,0.00124021916167453,0.00496087664669813,**,CV_C_L
New_tr_g,log(Value_part),Producers,Tertiary,45,4.88467872834596,1.34919150387455e-05,6.74595751937274e-05,****,CV_C_L
New_tr_g,log(Value_part),Primary,Secondary,45,2.92662026862007,0.00535573112377829,0.0160671933713349,*,CV_C_L
New_tr_g,log(Value_part),Primary,Tertiary,45,4.99380495259387,9.39080552895627e-06,5.63448331737376e-05,****,CV_C_L
New_tr_g,log(Value_part),Secondary,Tertiary,45,2.41246638661956,0.0199830376095641,0.0399660752191283,*,CV_C_L
New_tr_g,log(Value_part),Producers,Primary,45,2.76557409068071,0.008211388438344,0.008211388438344,**,CV_S_L
New_tr_g,log(Value_part),Producers,Secondary,45,5.54548591990156,1.46859516784448e-06,5.8743806713779e-06,****,CV_S_L
New_tr_g,log(Value_part),Producers,Tertiary,45,7.82762347462276,6.14944015655598e-10,3.68966409393359e-09,****,CV_S_L
New_tr_g,log(Value_part),Primary,Secondary,45,3.94087589951319,0.000280237621951303,0.000840712865853909,***,CV_S_L
New_tr_g,log(Value_part),Primary,Tertiary,45,7.2505987889396,4.33672693124702e-09,2.16836346562351e-08,****,CV_S_L
New_tr_g,log(Value_part),Secondary,Tertiary,45,3.83139531458781,0.000392473835117587,0.000840712865853909,***,CV_S_L
